,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,r_hi,r_lo,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,0,0,PEModel,0,0.95,90,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5600835715,0.4846116196,23.19219312,6.40013025,0.8209772735,0.5027376544,0.9456821015,1.173967802,-41.22222222,92.28022272,92,-126,-34.19993598,58.37417332,56.62992917,-87.59,8.888888889,4.398091618,961.9927377,496.4719156,1,60,0,30,0
1,0,1,PEModel,0,0.95,90,86400,40,None,None,None,FALSE,NestedSearchTree,3,4096,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.02666213051,0.05334664109,81.8463958,18.15715905,3.686451791,2.463248613,6.124011049,8.160125794,25.44444444,96.44078334,98,-118,22.16471434,61.71006428,83.885,-69.41995278,8.888888889,4.398091618,961.9927377,496.4719156,1,30,0,60,0
0,1,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5002690103,0.4869486924,22.77900643,6.522365938,1.106081896,0.85278885,1.939945881,2.936199844,-17.05,96.75291985,92,-133,-20.040872,58.86078133,56.62992917,-87.59,11.04,6.945386958,771.4735511,589.5208944,0.99,53,1,46,0
1,1,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,3,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.1254171279,0.1163333386,42.8701152,10.48231869,2.480527981,2.015479501,6.023719921,10.95992736,-3.05,102.1691123,98,-133,5.984752521,63.0348318,83.885,-69.41995278,11.04,6.945386958,771.4735511,589.5208944,0.99,46,1,53,0
0,2,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5220400559,0.5126344484,21.75469015,5.36420312,1.15512289,0.7830530701,2.072660198,2.967888061,-7.98,95.9220496,92,-124,-14.46976651,57.7011731,56.62992917,-87.59,11.95,7.378854925,572.739167,431.824807,0.97,47,3,50,0
1,2,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,3,1024,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.2773139045,0.232622781,21.83136837,4.372653388,1.490259229,1.015157014,4.288839311,6.655871363,-13.98,101.4558012,98,-128,-0.5364334525,61.76314789,83.885,-69.41995278,11.95,7.378854925,572.739167,431.824807,0.97,50,3,47,0
0,3,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5070654839,0.4669152264,22.8193901,5.610557911,1.216941767,0.7971156353,2.24269224,3.041555157,25.83,89.60257307,92,-139,9.073532567,50.34860265,56.62992917,-87.59,14.12,8.107132662,534.9850359,391.8168172,0.95,28,5,67,0
1,3,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,3,512,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.7137651699,0.2935448806,11.49573726,2.12391571,1.042558596,0.5092513957,3.327213044,3.981238199,-52.17,89.81147532,98,-122,-26.35226062,51.88980166,83.885,-69.41995278,14.12,8.107132662,534.9850359,391.8168172,0.95,67,5,28,0
0,4,0,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,1,2048,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,0.5717009242,0.5225943819,22.48910522,5.500340002,1.236052906,0.7703726324,2.293137643,3.29383431,16.77,93.73706364,92,-135,5.575719213,50.93271972,56.62992917,-87.59,14.19,7.532190916,405.0325711,293.1830737,0.96,33,4,63,0
1,4,1,PEModel,0,0.95,100,86400,40,None,None,None,FALSE,NestedSearchTree,3,128,,,"{0: (<class 'posgmcp.envs.pe.policies.PESPPolicy'>, {'r_hi': 90, 'r_lo': -138}), 1: (<class 'posgmcp.policy.random_policy.RandomPolicy'>, {})}",230,0.1,1.612922579,0.2005415147,2.856421801,0.4864963352,0.2941386052,0.1396435435,0.949225425,1.05944034,-43.23,93.44001873,98,-128,-23.09330385,51.70074014,83.885,-69.41995278,14.19,7.532190916,405.0325711,293.1830737,0.96,63,4,33,0
