,exp_id,agent_id,model,seed,gamma,num_episodes,time_limit,step_limit,show_tree,show_belief,show_pi,render_asci,policy_name,nesting_level,num_sims,rollout_policies,uct_c,epsilon,policy_entropy_mean,policy_entropy_std,search_time_mean,search_time_std,update_time_mean,update_time_std,reinvigoration_time_mean,reinvigoration_time_std,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_discounted_returns_mean,episode_discounted_returns_std,episode_discounted_returns_max,episode_discounted_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
0,31,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,3,1,None,110.0,0.1,1.9094081888010508,0.0013627153358593,0.0081919998963673,0.0017909823142748,0.0022044000307718,0.0002013029559692,0.0018073343118031,0.0005171818843688,-108.936,1.4518622524192866,-107.0,-111.0,-67.18966862574281,3.580793460572462,-62.22880701301092,-72.07363450312498,9.936,1.4518622524192852,0.1132831449508667,0.0258342284870821,1.0,250,0,0,0
1,31,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,0,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.064,1.4518622524192866,93.0,89.0,53.284502938614544,5.371190190858691,60.61045175468748,45.8432105195164,9.936,1.4518622524192852,0.1132831449508667,0.0258342284870821,1.0,0,0,250,0
0,28,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,3,16,None,110.0,0.1,1.8931282785366177,0.076240079412639,0.1233214582567681,0.0053927062289094,0.0131596352455094,0.0024766349416873,0.0142659538997166,0.0060784340245399,12.4,96.83528282604432,94.0,-116.0,3.58480390987048,54.30307263692329,64.80047553124997,-74.86698368749997,11.8,2.791415411578864,1.6305784349441528,0.4194889324998212,1.0,96,0,154,0
1,28,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,97.7856431179956,94.0,-117.0,-19.527170870296864,54.66444021488557,64.80047553124997,-74.86698368749997,11.8,2.791415411578864,1.6305784349441528,0.4194889324998212,1.0,154,0,96,0
0,29,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,3,16,None,110.0,0.1,1.8931282785366177,0.076240079412639,0.1229890716515228,0.0049192139862302,0.0132158101812973,0.0024968922862135,0.0143057959580136,0.0060949490047977,12.4,96.83528282604432,94.0,-116.0,3.58480390987048,54.30307263692329,64.80047553124997,-74.86698368749997,11.8,2.791415411578864,1.6280018043518067,0.4203004676127542,1.0,96,0,154,0
1,29,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,3,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,97.7856431179956,94.0,-117.0,-19.527170870296864,54.66444021488557,64.80047553124997,-74.86698368749997,11.8,2.791415411578864,1.6280018043518067,0.4203004676127542,1.0,154,0,96,0
0,138,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,0,1,None,110.0,0.1,1.9110415032039345,0.0009022803486313,0.0018222353185926,0.0004493219443348,0.0003375499248504,1.6645663163350278e-05,3.959408941723051e-05,3.246010282319029e-06,-111.008,1.414190934775077,-109.0,-113.0,-62.32487195996385,3.142674676678527,-58.01399832924236,-66.8989551390703,12.008,1.4141909347750747,0.03632479763031,0.00644702518259,1.0,250,0,0,0
1,138,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,2,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.992,1.414190934775077,91.0,87.0,45.98730793994608,4.714012015017795,52.84843270860545,39.52099749386355,12.008,1.4141909347750747,0.03632479763031,0.00644702518259,1.0,0,0,250,0
0,97,0,RCModel,0,0.95,250,43200,20,None,None,None,False,NestedSearchTree,1,16,None,110.0,0.1,1.9528338477158056,0.0397439434096347,0.0595356436724276,0.005120998712035,0.0039970576259018,0.0013642942323513,0.0024537604899829,0.0013786292907278,-82.576,64.59644126420605,91.0,-116.0,-57.64331108820911,36.60631707860817,52.84843270860545,-80.90247499999998,9.176,3.0739264792769525,0.5966273183822632,0.2130522351300846,1.0,218,0,32,0
1,97,1,RCModel,0,0.95,250,43200,20,None,None,None,False,RCNestedReasoningPolicy,1,None,None,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.224,69.10483213205858,96.0,-117.0,44.9196611558176,39.47277574242401,73.85371249999997,-66.8989551390703,9.176,3.0739264792769525,0.5966273183822632,0.2130522351300846,1.0,32,0,218,0
